bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
2421.47,15170.1,361.85,1087.75,34.19,1148.53,3.85,255.76,1.65,405.07,48.65,23.89,102.38,2.46,21.75,55.98,13.63
2786.88,16477.6,376.96,1285.43,40.79,1153.17,4.07,288.45,1.84,459.33,41.86,24.41,102.43,3.38,17.05,85.77,12.95
2786.65,17527.0,449.47,1265.03,38.42,1041.68,3.94,296.45,1.65,452.77,32.35,19.31,100.86,3.09,16.19,94.67,12.86
2584.48,17429.5,402.82,1152.41,36.2,997.72,3.75,249.27,1.59,384.94,31.55,18.69,95.28,3.05,15.19,62.7,12.06
2430.18,15599.2,428.53,1229.79,36.32,980.92,4.08,241.37,1.64,403.05,37.48,19.93,99.11,3.2,16.06,57.47,12.54
2608.69,15201.0,447.53,1170.74,34.86,962.72,4.13,245.37,1.79,412.06,37.99,20.54,105.56,3.11,16.96,59.09,12.99
2711.0,14982.1,428.6,1217.72,34.92,884.44,4.0,255.68,1.16,383.42,37.62,20.3,90.33,2.48,16.08,60.72,13.35
2432.54,13657.2,385.5,1053.98,34.17,772.64,3.97,229.03,1.04,358.99,39.87,19.33,78.82,2.39,15.7,60.88,12.57
2533.01,14156.4,418.96,1051.68,28.0,756.73,3.55,232.1,1.03,349.03,32.97,19.89,75.96,2.3,14.03,62.4,12.6
2392.41,12952.2,384.56,1011.47,26.92,717.26,3.34,218.96,0.926883,330.8,28.77,16.57,72.4,2.16,13.0,60.49,11.81
2779.95,14656.2,463.31,1147.95,30.03,753.59,3.69,245.5,1.06,377.37,33.16,16.02,73.9,2.21,15.15,58.71,13.64
2566.64,14606.5,409.57,1160.57,29.53,737.02,3.68,249.93,0.909741,378.9,34.2,15.09,65.43,1.43,14.22,56.23,12.71
2889.52,15838.5,421.6,1189.89,32.14,762.84,3.74,272.17,0.944464,421.85,34.53,15.04,66.88,1.4,13.84,54.11,13.58
3108.89,16099.8,397.87,1222.83,32.9,773.84,3.8,286.5,0.9883799999999999,381.54,32.02,15.24,65.52,1.19,14.92,55.95,14.2
2954.69,14026.6,220.01,1175.89,32.35,765.83,3.5,273.39,1.01,360.78,34.46,15.64,66.32,1.12,15.3,58.09,14.28
2903.12,13925.8,241.63,1184.69,30.78,694.15,3.48,275.98,1.04,337.06,27.53,14.35,59.7,1.04,14.29,53.64,13.81
3257.08,14699.2,288.51,1275.5,32.73,719.39,3.61,288.27,0.9271659999999999,382.04,26.01,14.41,58.9,1.17,13.24,57.26,14.27
2696.69,13831.8,289.79,1179.01,30.96,674.86,3.45,264.93,0.816177,346.11,23.06,12.88,55.57,1.14,9.92,49.48,12.52
3267.17,15802.9,340.55,1434.82,42.1,821.06,5.03,317.46,0.998102,417.98,29.76,17.12,71.37,1.19,12.93,62.23,16.03
3923.07,16624.6,362.78,1550.85,44.05,819.09,5.09,314.62,0.9189959999999999,469.2,27.22,17.79,75.62,0.775964,11.19,63.64,15.21
2805.89,17776.7,387.42,1186.63,40.27,826.82,5.37,350.25,0.9429620000000001,377.24,27.53,18.14,70.81,0.791257,11.99,67.75,15.89
2196.64,19114.2,430.04,1167.12,39.4,794.64,4.24,358.34,0.8461930000000001,381.51,28.88,18.5,77.22,0.778407,12.67,51.85,15.61
1862.88,19140.8,427.71,1105.92,34.79,719.98,3.93,318.72,0.6878270000000001,351.37,26.06,15.62,68.11,0.728366,11.26,29.62,13.54
1801.88,19497.4,457.47,1001.51,34.78,696.21,3.63,298.97,0.657999,327.32,23.96,14.27,49.81,0.758642,10.81,29.0,13.4
1815.43,17706.9,396.08,900.52,32.09,684.45,3.9,299.78,0.5926819999999999,312.32,23.26,11.72,47.99,0.756181,9.89,30.54,13.09
1966.14,16564.0,373.44,941.11,31.96,695.82,3.78,279.33,0.610045,325.21,22.72,11.44,50.62,0.8642629999999999,9.78,20.48,13.64
1607.65,16408.2,366.3,886.88,29.72,702.77,4.09,302.6,0.523858,305.75,23.06,10.71,44.81,0.471063,9.54,17.31,13.65
1615.03,17415.4,387.75,932.03,30.32,651.43,4.72,316.16,0.534018,308.07,23.77,10.38,40.41,0.373541,10.16,14.76,14.86
1423.38,16936.8,379.63,765.4,27.64,515.14,4.27,214.2,0.49053,279.67,23.09,9.01,35.88,0.251691,10.73,13.55,11.22
1323.07,15455.4,374.21,688.67,26.51,441.72,4.13,148.66,0.393966,245.33,22.53,7.95,33.31,0.237333,9.2,11.05,9.76
1410.06,15178.2,373.26,723.61,29.09,473.5,4.68,155.24,0.445482,262.53,23.6,8.58,35.71,0.24470799999999998,9.16,12.08,8.72
1464.13,16569.4,409.73,726.67,30.05,456.03,5.01,124.85,0.6394489999999999,276.74,20.91,8.45,36.27,0.252125,9.02,12.79,8.4
1330.93,17899.7,447.18,697.9,26.82,434.41,4.14,98.29,0.236283,280.86,21.06,7.85,34.86,0.222823,8.84,12.56,8.52
1430.1,14291.5,369.24,700.07,27.86,428.59,4.36,100.35,0.270295,278.69,21.04,8.64,35.16,0.232544,7.56,11.96,8.43
1501.85,11916.7,331.74,756.36,30.39,463.28,3.84,102.4,0.301329,269.48,25.78,10.08,38.82,0.24610100000000001,7.46,13.08,7.43
1576.92,11657.2,330.67,774.01,30.4,470.2,2.76,104.24,0.285884,210.24,28.07,10.51,42.17,0.253571,7.48,13.62,6.69
1559.93,11323.2,311.99,768.88,30.46,465.85,1.88,101.26,0.275915,200.05,26.44,9.43,36.62,0.252558,6.12,13.15,6.2
1434.98,11074.6,319.24,778.43,30.8,463.45,1.44,100.28,0.252322,203.03,28.06,9.31,35.07,0.255492,5.91,13.0,6.11
1462.68,10975.6,322.74,797.53,31.2,466.54,1.45,99.0,0.239571,190.94,31.17,8.9,35.84,0.25569899999999995,5.65,13.16,5.8
1389.78,10233.6,285.46,786.93,28.19,447.11,1.33,88.33,0.226677,180.14,28.74,8.13,32.96,0.25087800000000005,5.36,12.95,4.88
1359.71,9888.61,269.33,677.39,25.42,427.52,1.25,85.57,0.218286,168.15,18.58,7.95,32.28,0.24306399999999997,4.82,12.45,5.17
