bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
"25,234,400,000","199,390,000,000","1,054,920,000","5,848,270,000","2,991,890,000","44,483,100,000","10,593,600,000","5,548,860,000","2,697,300,000","4,140,770,000","33,385,700","1,031,440,000","2,518,460,000","9,507,190,000","729,668,000","967,196,000","738,347,000"
"26,606,900,000","195,389,000,000","1,055,560,000","5,991,370,000","2,981,630,000","45,212,800,000","7,778,170,000","5,644,390,000","2,573,250,000","3,258,360,000","36,473,800","1,062,170,000","2,729,160,000","9,815,990,000","744,784,000","1,009,240,000","668,740,000"
"26,267,300,000","189,172,000,000","932,938,000","5,957,860,000","2,984,910,000","44,795,700,000","5,265,070,000","5,486,740,000","2,494,140,000","3,079,850,000","33,832,200","961,222,000","2,382,160,000","9,768,480,000","606,793,000","968,910,000","620,558,000"
"24,163,600,000","185,258,000,000","1,015,700,000","6,015,560,000","3,016,140,000","44,560,500,000","4,004,200,000","5,420,380,000","2,266,360,000","3,137,680,000","36,427,600","949,255,000","2,281,180,000","9,869,310,000","583,559,000","959,947,000","609,449,000"
"24,610,500,000","183,490,000,000","1,027,220,000","6,161,690,000","3,055,410,000","44,853,300,000","3,948,800,000","5,351,330,000","2,159,190,000","2,943,520,000","40,394,400","905,896,000","2,329,690,000","9,874,190,000","562,162,000","969,375,000","579,354,000"
"23,257,100,000","170,436,000,000","903,630,000","6,079,550,000","2,737,970,000","42,765,000,000","3,639,440,000","4,758,600,000","2,029,370,000","2,771,380,000","37,590,700","828,272,000","2,137,790,000","9,669,290,000","524,709,000","948,229,000","483,939,000"
"23,230,400,000","165,537,000,000","584,800,000","5,257,210,000","2,546,530,000","41,411,900,000","3,540,700,000","4,662,340,000","1,965,590,000","2,627,490,000","24,102,300","811,384,000","2,115,360,000","9,517,940,000","479,208,000","920,799,000","523,239,000"
"25,941,800,000","168,367,000,000","609,556,000","4,832,510,000","3,326,880,000","45,442,100,000","4,117,010,000","5,188,580,000","2,320,920,000","3,142,680,000","19,532,600","961,128,000","2,469,340,000","11,504,500,000","641,537,000","1,137,980,000","590,960,000"
"27,277,200,000","164,104,000,000","644,146,000","4,878,960,000","2,519,340,000","46,127,200,000","2,904,130,000","4,955,290,000","2,039,580,000","2,701,720,000","20,425,900","967,855,000","2,608,660,000","9,811,650,000","528,620,000","1,087,670,000","562,374,000"
"28,986,800,000","156,221,000,000","640,764,000","4,790,590,000","2,167,620,000","45,255,000,000","2,348,230,000","4,638,580,000","1,926,100,000","2,509,520,000","19,800,900","869,721,000","2,491,020,000","9,590,240,000","449,765,000","1,082,680,000","567,162,000"
"26,434,500,000","146,789,000,000","651,255,000","4,945,950,000","2,124,930,000","44,712,100,000","2,236,470,000","4,801,830,000","1,964,170,000","2,595,920,000","18,744,000","891,835,000","2,472,680,000","9,768,270,000","475,322,000","1,068,960,000","535,981,000"
"27,484,900,000","137,632,000,000","633,916,000","4,370,400,000","2,084,820,000","45,633,400,000","2,189,520,000","4,205,220,000","1,882,040,000","2,463,190,000","16,487,800","775,940,000","2,263,690,000","9,430,850,000","419,190,000","1,059,050,000","521,531,000"
"27,782,400,000","134,816,000,000","618,155,000","4,349,120,000","1,785,000,000","39,564,300,000","2,205,530,000","3,946,910,000","1,811,810,000","2,441,330,000","16,085,600","785,544,000","2,267,940,000","9,379,600,000","393,780,000","1,027,570,000","519,100,000"
"21,899,400,000","137,444,000,000","639,913,000","4,447,480,000","1,760,670,000","36,577,300,000","2,494,420,000","3,882,950,000","1,837,210,000","2,555,950,000","15,800,400","814,275,000","2,329,200,000","9,230,520,000","367,876,000","1,047,380,000","529,435,000"
"19,758,600,000","134,851,000,000","630,210,000","3,810,980,000","1,732,980,000","34,544,000,000","2,471,570,000","3,785,260,000","1,830,930,000","2,184,930,000","14,664,700","783,236,000","2,239,040,000","8,985,300,000","343,618,000","1,035,430,000","519,834,000"
"20,525,100,000","136,967,000,000","634,092,000","3,852,180,000","1,796,380,000","35,220,200,000","2,683,940,000","3,892,860,000","1,912,860,000","2,093,010,000","14,159,400","824,262,000","2,353,570,000","9,191,390,000","344,218,000","1,090,630,000","525,616,000"
"19,710,200,000","134,167,000,000","625,403,000","3,403,030,000","1,750,630,000","33,933,400,000","2,397,820,000","3,849,390,000","1,816,320,000","1,990,900,000","14,590,200","795,924,000","2,596,080,000","8,934,850,000","340,139,000","1,031,670,000","512,582,000"
