BTC000000000;25/03/16;418,00;418,88;413,5011;416,7154;0
BTC000000000;26/03/16;418,7374;423,968;416,8635;418,3253;0
BTC000000000;27/03/16;418,8377;428,1176;418,3947;426,1011;0
BTC000000000;28/03/16;424,1252;428,7521;420,00;425,3909;0
BTC000000000;29/03/16;421,10;428,50;410,00;416,965;0
BTC000000000;30/03/16;416,965;420,499;410,00;414,30;0
BTC000000000;31/03/16;416,7734;420,4226;414,30;417,00;0
BTC000000000;01/04/16;416,00;420,04;416,00;418,20;0
BTC000000000;02/04/16;418,6111;422,5758;418,4516;420,2815;0
BTC000000000;03/04/16;420,9726;421,9619;419,3839;420,6471;0
BTC000000000;04/04/16;421,9082;423,999;420,20;420,50;0
BTC000000000;05/04/16;422,80;425,887;420,20;424,16;0
BTC000000000;06/04/16;424,16;425,9381;420,55;422,4996;0
BTC000000000;07/04/16;422,9225;424,705;420,083;424,00;0
BTC000000000;08/04/16;421,9684;426,50;418,00;419,0001;0
BTC000000000;09/04/16;419,6156;420,5254;415,0296;419,5818;0
BTC000000000;10/04/16;419,8953;423,497;419,7169;421,7569;0
BTC000000000;11/04/16;419,7193;424,77;419,00;422,7526;0
BTC000000000;12/04/16;423,1754;429,98;422,40;424,89;0
BTC000000000;13/04/16;426,50;427,50;423,24;425,00;0
BTC000000000;14/04/16;424,5658;428,999;423,511;427,18;0
BTC000000000;15/04/16;427,2011;437,271;424,6826;430,608;0
BTC000000000;16/04/16;431,3318;434,9714;430,7869;432,0548;0
BTC000000000;17/04/16;432,4455;433,3276;427,8614;428,4868;0
BTC000000000;18/04/16;428,82;432,80;427,20;430,3105;0
BTC000000000;19/04/16;428,70;440,5342;427,2862;437,9375;0
BTC000000000;20/04/16;437,9018;448,477;434,0618;443,1155;0
BTC000000000;21/04/16;443,122;459,245;440,74;450,799;0
BTC000000000;22/04/16;450,799;456,747;445,6342;447,5395;0
BTC000000000;23/04/16;447,265;452,7538;446,4785;452,5111;0
BTC000000000;24/04/16;453,1396;461,5097;450,939;460,2193;0
BTC000000000;25/04/16;460,9014;474,0689;456,55;465,00;0
BTC000000000;26/04/16;463,90;472,48;463,223;467,75;0
BTC000000000;27/04/16;467,75;469,00;443,00;443,025;0
BTC000000000;28/04/16;443,025;451,10;421,91;451,00;0
BTC000000000;29/04/16;451,00;484,484;445,00;455,95;0
BTC000000000;30/04/16;456,258;456,6059;448,7973;449,9212;0
BTC000000000;01/05/16;449,8535;454,5867;449,2759;452,5493;0
BTC000000000;02/05/16;447,447;451,20;425,90;445,00;0
BTC000000000;03/05/16;445,00;450,90;440,20;450,858;0
BTC000000000;04/05/16;447,80;450,858;444,2139;449,49;0
BTC000000000;05/05/16;445,00;451,89;444,5443;446,12;0
BTC000000000;06/05/16;446,12;463,0479;444,48;461,00;0
BTC000000000;07/05/16;460,4859;462,4458;458,7942;460,6909;0
BTC000000000;08/05/16;460,9787;462,9174;459,4694;461,0505;0
BTC000000000;09/05/16;459,00;465,0703;456,06;463,226;0
BTC000000000;10/05/16;460,50;464,8342;449,49;449,50;0
BTC000000000;11/05/16;449,50;455,719;449,49;450,2362;0
BTC000000000;12/05/16;453,54;455,06;448,09;454,44;0
BTC000000000;13/05/16;454,44;457,98;450,13;453,3728;0
