"","Date","Prix","Variation 24h"
"443",2017-03-18,"1 BTC = 1078.74000000€","-8.45%"
"444",2017-03-19,"1 BTC = 994.87000000€","-8.43%"
"445",2017-03-20,"1 BTC = 883.13000000€","-12.65%"
"446",2017-03-21,"1 BTC = 944.86000000€","6.53%"
"447",2017-03-22,"1 BTC = 959.48000000€","1.52%"
"448",2017-03-23,"1 BTC = 1024.58000000€","6.35%"
"449",2017-03-24,"1 BTC = 957.05000000€","-7.06%"
"450",2017-03-25,"1 BTC = 952.73000000€","-0.45%"
"451",2017-03-26,"1 BTC = 858.40000000€","-10.99%"
"452",2017-03-27,"1 BTC = 878.53000000€","2.29%"
"453",2017-03-28,"1 BTC = 884.57000000€","0.68%"
"454",2017-03-29,"1 BTC = 953.97000000€","7.27%"
"455",2017-03-30,"1 BTC = 959.37000000€","0.56%"
"456",2017-03-31,"1 BTC = 960.89000000€","0.16%"
"457",2017-04-01,"1 BTC = 963.70000000€","0.29%"
"458",2017-04-02,"1 BTC = 1006.92000000€","4.29%"
"459",2017-04-03,"1 BTC = 1018.38000000€","1.13%"
"460",2017-04-04,"1 BTC = 1028.39000000€","0.97%"
"461",2017-04-05,"1 BTC = 1073.27000000€","4.18%"
"462",2017-04-06,"1 BTC = 1065.98000000€","-0.68%"
"463",2017-04-07,"1 BTC = 1060.21000000€","-0.54%"
"464",2017-04-08,"1 BTC = 1127.15000000€","5.94%"
"465",2017-04-09,"1 BTC = 1123.86000000€","-0.29%"
"466",2017-04-10,"1 BTC = 1113.81000000€","-0.9%"
"467",2017-04-11,"1 BTC = 1131.66000000€","1.58%"
"468",2017-04-12,"1 BTC = 1134.48000000€","0.25%"
"469",2017-04-13,"1 BTC = 1150.08000000€","1.36%"
"470",2017-04-14,"1 BTC = 1138.22000000€","-1.04%"
"471",2017-04-15,"1 BTC = 1103.49000000€","-3.15%"
"472",2017-04-16,"1 BTC = 1111.42000000€","0.71%"
"473",2017-04-17,"1 BTC = 1098.70000000€","-1.16%"
"474",2017-04-18,"1 BTC = 1109.93000000€","1.01%"
"475",2017-04-19,"1 BTC = 1116.08000000€","0.55%"
"476",2017-04-20,"1 BTC = 1121.99000000€","0.53%"
"477",2017-04-21,"1 BTC = 1127.57000000€","0.49%"
"478",2017-04-22,"1 BTC = 1152.22000000€","2.14%"
"479",2017-04-23,"1 BTC = 1158.34000000€","0.53%"
"480",2017-04-24,"1 BTC = 1150.00000000€","-0.73%"
"481",2017-04-25,"1 BTC = 1143.71000000€","-0.55%"
"482",2017-04-26,"1 BTC = 1155.50000000€","1.02%"
"483",2017-04-27,"1 BTC = 1168.51000000€","1.11%"
"484",2017-04-28,"1 BTC = 1182.07000000€","1.15%"
"485",2017-04-29,"1 BTC = 1214.77000000€","2.69%"
"486",2017-04-30,"1 BTC = 1213.03000000€","-0.14%"
"487",2017-05-01,"1 BTC = 1214.95000000€","0.16%"
"488",2017-05-02,"1 BTC = 1226.32000000€","0.93%"
"489",2017-05-03,"1 BTC = 1258.54000000€","2.56%"
"490",2017-05-04,"1 BTC = 1317.71000000€","4.49%"
"491",2017-05-05,"1 BTC = 1376.41000000€","4.26%"
"492",2017-05-06,"1 BTC = 1385.32000000€","0.64%"
"493",2017-05-07,"1 BTC = 1378.04000000€","-0.53%"
"494",2017-05-08,"1 BTC = 1407.38000000€","2.08%"
"495",2017-05-09,"1 BTC = 1418.82000000€","0.81%"
"496",2017-05-10,"1 BTC = 1513.65000000€","6.26%"
"497",2017-05-11,"1 BTC = 1572.26000000€","3.73%"
"498",2017-05-12,"1 BTC = 1634.72000000€","3.82%"
"499",2017-05-13,"1 BTC = 1690.57000000€","3.3%"
"500",2017-05-14,"1 BTC = 1557.80000000€","-8.52%"
"501",2017-05-15,"1 BTC = 1637.80000000€","4.88%"
"502",2017-05-16,"1 BTC = 1641.25000000€","0.21%"
"503",2017-05-17,"1 BTC = 1598.45000000€","-2.68%"
"504",2017-05-18,"1 BTC = 1604.20000000€","0.36%"
"505",2017-05-19,"1 BTC = 1648.68000000€","2.7%"
"506",2017-05-20,"1 BTC = 1704.02000000€","3.25%"
"507",2017-05-21,"1 BTC = 1751.84000000€","2.73%"
"508",2017-05-22,"1 BTC = 1805.73000000€","2.98%"
"509",2017-05-23,"1 BTC = 1803.60000000€","-0.12%"
"510",2017-05-24,"1 BTC = 1858.53000000€","2.96%"
"511",2017-05-25,"1 BTC = 1995.49000000€","6.86%"
"512",2017-05-26,"1 BTC = 2124.19000000€","6.06%"
"513",2017-05-27,"1 BTC = 1998.17000000€","-6.31%"
"514",2017-05-28,"1 BTC = 1986.17000000€","-0.6%"
"515",2017-05-29,"1 BTC = 1800.97000000€","-10.28%"
"516",2017-05-30,"1 BTC = 1902.86000000€","5.35%"
"517",2017-05-31,"1 BTC = 2043.19000000€","6.87%"
"518",2017-06-01,"1 BTC = 1923.75000000€","-6.21%"
"519",2017-06-02,"1 BTC = 2051.72000000€","6.24%"
"520",2017-06-03,"1 BTC = 2132.19000000€","3.77%"
"521",2017-06-04,"1 BTC = 2220.76000000€","3.99%"
"522",2017-06-05,"1 BTC = 2269.98000000€","2.17%"
"523",2017-06-06,"1 BTC = 2246.48000000€","-1.05%"
"524",2017-06-07,"1 BTC = 2392.58000000€","6.11%"
"525",2017-06-08,"1 BTC = 2553.86000000€","6.32%"
"526",2017-06-09,"1 BTC = 2411.65000000€","-5.9%"
"527",2017-06-10,"1 BTC = 2506.41000000€","3.78%"
"528",2017-06-11,"1 BTC = 2534.67000000€","1.11%"
"529",2017-06-12,"1 BTC = 2522.92000000€","-0.47%"
"530",2017-06-13,"1 BTC = 2607.78000000€","3.25%"
"531",2017-06-14,"1 BTC = 2337.44000000€","-11.57%"
"532",2017-06-15,"1 BTC = 2405.65000000€","2.84%"
"533",2017-06-16,"1 BTC = 2206.71000000€","-9.02%"
"534",2017-06-17,"1 BTC = 2166.59000000€","-1.85%"
"535",2017-06-18,"1 BTC = 2218.27000000€","2.33%"
"536",2017-06-19,"1 BTC = 2356.50000000€","5.87%"
"537",2017-06-20,"1 BTC = 2231.08000000€","-5.62%"
"538",2017-06-21,"1 BTC = 2293.28000000€","2.71%"
"539",2017-06-22,"1 BTC = 2440.94000000€","6.05%"
"540",2017-06-23,"1 BTC = 2365.30000000€","-3.2%"
"541",2017-06-24,"1 BTC = 2399.69000000€","1.43%"
"542",2017-06-25,"1 BTC = 2404.03000000€","0.18%"
"543",2017-06-26,"1 BTC = 2288.28000000€","-5.06%"
"544",2017-06-27,"1 BTC = 2224.37000000€","-2.87%"
"545",2017-06-28,"1 BTC = 2142.36000000€","-3.83%"
"546",2017-06-29,"1 BTC = 2226.80000000€","3.79%"
"547",2017-06-30,"1 BTC = 2248.93000000€","0.98%"
"548",2017-07-01,"1 BTC = 2217.44000000€","-1.42%"
"549",2017-07-02,"1 BTC = 2147.76000000€","-3.24%"
"550",2017-07-03,"1 BTC = 2109.41000000€","-1.82%"
"551",2017-07-04,"1 BTC = 2201.95000000€","4.2%"
"552",2017-07-05,"1 BTC = 2249.87000000€","2.13%"
"553",2017-07-06,"1 BTC = 2292.74000000€","1.87%"
"554",2017-07-07,"1 BTC = 2296.27000000€","0.15%"
"555",2017-07-08,"1 BTC = 2288.03000000€","-0.36%"
"556",2017-07-09,"1 BTC = 2203.83000000€","-3.82%"
"557",2017-07-10,"1 BTC = 2244.06000000€","1.79%"
"558",2017-07-11,"1 BTC = 2206.51000000€","-1.7%"
"559",2017-07-12,"1 BTC = 2052.97000000€","-7.48%"
"560",2017-07-13,"1 BTC = 2022.15000000€","-1.52%"
"561",2017-07-14,"1 BTC = 2090.75000000€","3.28%"
"562",2017-07-15,"1 BTC = 2053.46000000€","-1.82%"
"563",2017-07-16,"1 BTC = 1940.75000000€","-5.81%"
"564",2017-07-17,"1 BTC = 1725.15000000€","-12.5%"
"565",2017-07-18,"1 BTC = 1670.64000000€","-3.26%"
"566",2017-07-19,"1 BTC = 1934.48000000€","13.64%"
"567",2017-07-20,"1 BTC = 2011.31000000€","3.82%"
"568",2017-07-21,"1 BTC = 1968.05000000€","-2.2%"
"569",2017-07-22,"1 BTC = 2436.04000000€","19.21%"
"570",2017-07-23,"1 BTC = 2295.68000000€","-6.11%"
"571",2017-07-24,"1 BTC = 2424.40000000€","5.31%"
"572",2017-07-25,"1 BTC = 2363.29000000€","-2.59%"
"573",2017-07-26,"1 BTC = 2378.55000000€","0.64%"
"574",2017-07-27,"1 BTC = 2214.34000000€","-7.42%"
"575",2017-07-28,"1 BTC = 2184.32000000€","-1.37%"
"576",2017-07-29,"1 BTC = 2294.55000000€","4.8%"
"577",2017-07-30,"1 BTC = 2381.08000000€","3.63%"
"578",2017-07-31,"1 BTC = 2318.37000000€","-2.7%"
"579",2017-08-01,"1 BTC = 2369.13000000€","2.14%"
"580",2017-08-02,"1 BTC = 2467.06000000€","3.97%"
"581",2017-08-03,"1 BTC = 2328.56000000€","-5.95%"
"582",2017-08-04,"1 BTC = 2283.06000000€","-1.99%"
"583",2017-08-05,"1 BTC = 2373.92000000€","3.83%"
"584",2017-08-06,"1 BTC = 2431.35000000€","2.36%"
"585",2017-08-07,"1 BTC = 2759.23000000€","11.88%"
"586",2017-08-08,"1 BTC = 2734.11000000€","-0.92%"
"587",2017-08-09,"1 BTC = 2874.39000000€","4.88%"
"588",2017-08-10,"1 BTC = 2925.29000000€","1.74%"
"589",2017-08-11,"1 BTC = 2869.25000000€","-1.95%"
"590",2017-08-12,"1 BTC = 2916.30000000€","1.61%"
"591",2017-08-13,"1 BTC = 3110.91000000€","6.26%"
"592",2017-08-14,"1 BTC = 3289.21000000€","5.42%"
"593",2017-08-15,"1 BTC = 3458.17000000€","4.89%"
"594",2017-08-16,"1 BTC = 3681.48000000€","6.07%"
"595",2017-08-17,"1 BTC = 3546.95000000€","-3.79%"
"596",2017-08-18,"1 BTC = 3733.59000000€","5%"
"597",2017-08-19,"1 BTC = 3646.62000000€","-2.38%"
"598",2017-08-20,"1 BTC = 3530.94000000€","-3.28%"
"599",2017-08-21,"1 BTC = 3555.68000000€","0.7%"
"600",2017-08-22,"1 BTC = 3485.58000000€","-2.01%"
"601",2017-08-23,"1 BTC = 3406.71000000€","-2.32%"
"602",2017-08-24,"1 BTC = 3500.83000000€","2.69%"
"603",2017-08-25,"1 BTC = 3541.95000000€","1.16%"
"604",2017-08-26,"1 BTC = 3686.73000000€","3.93%"
"605",2017-08-27,"1 BTC = 3681.86000000€","-0.13%"
"606",2017-08-28,"1 BTC = 3663.49000000€","-0.5%"
"607",2017-08-29,"1 BTC = 3644.45000000€","-0.52%"
"608",2017-08-30,"1 BTC = 3671.02000000€","0.72%"
"609",2017-08-31,"1 BTC = 3820.26000000€","3.91%"
"610",2017-09-01,"1 BTC = 3839.76000000€","0.51%"
"611",2017-09-02,"1 BTC = 3983.95000000€","3.62%"
"612",2017-09-03,"1 BTC = 4145.42000000€","3.9%"
"613",2017-09-04,"1 BTC = 3893.78000000€","-6.46%"
"614",2017-09-05,"1 BTC = 3924.31000000€","0.78%"
"615",2017-09-06,"1 BTC = 3672.46000000€","-6.86%"
"616",2017-09-07,"1 BTC = 3780.82000000€","2.87%"
"617",2017-09-08,"1 BTC = 3912.34000000€","3.36%"
"618",2017-09-09,"1 BTC = 3883.01000000€","-0.76%"
"619",2017-09-10,"1 BTC = 3662.21000000€","-6.03%"
"620",2017-09-11,"1 BTC = 3635.77000000€","-0.73%"
"621",2017-09-12,"1 BTC = 3578.29000000€","-1.61%"
"622",2017-09-13,"1 BTC = 3544.73000000€","-0.95%"
"623",2017-09-14,"1 BTC = 3492.99000000€","-1.48%"
"624",2017-09-15,"1 BTC = 3250.09000000€","-7.47%"
"625",2017-09-16,"1 BTC = 2735.87000000€","-18.8%"
"626",2017-09-17,"1 BTC = 3157.37000000€","13.35%"
"627",2017-09-18,"1 BTC = 3125.83000000€","-1.01%"
"628",2017-09-19,"1 BTC = 3112.56000000€","-0.43%"
"629",2017-09-20,"1 BTC = 3454.42000000€","9.9%"
"630",2017-09-21,"1 BTC = 3274.26000000€","-5.5%"
"631",2017-09-22,"1 BTC = 3264.22000000€","-0.31%"
"632",2017-09-23,"1 BTC = 3045.85000000€","-7.17%"
"633",2017-09-24,"1 BTC = 3055.18000000€","0.31%"
"634",2017-09-25,"1 BTC = 3182.26000000€","3.99%"
"635",2017-09-26,"1 BTC = 3093.01000000€","-2.89%"
"636",2017-09-27,"1 BTC = 3316.26000000€","6.73%"
"637",2017-09-28,"1 BTC = 3284.23000000€","-0.98%"
"638",2017-09-29,"1 BTC = 3570.58000000€","8.02%"
"639",2017-09-30,"1 BTC = 3547.04000000€","-0.66%"
"640",2017-10-01,"1 BTC = 3517.27000000€","-0.85%"
"641",2017-10-02,"1 BTC = 3666.89000000€","4.08%"
"642",2017-10-03,"1 BTC = 3697.62000000€","0.83%"
"643",2017-10-04,"1 BTC = 3743.93000000€","1.24%"
"644",2017-10-05,"1 BTC = 3678.23000000€","-1.79%"
"645",2017-10-06,"1 BTC = 3600.86000000€","-2.15%"
"646",2017-10-07,"1 BTC = 3682.08000000€","2.21%"
"647",2017-10-08,"1 BTC = 3707.64000000€","0.69%"
"648",2017-10-09,"1 BTC = 3767.68000000€","1.59%"
"649",2017-10-10,"1 BTC = 3883.93000000€","2.99%"
"650",2017-10-11,"1 BTC = 4046.34000000€","4.01%"
"651",2017-10-12,"1 BTC = 4022.61000000€","-0.59%"
"652",2017-10-13,"1 BTC = 4061.99000000€","0.97%"
"653",2017-10-14,"1 BTC = 4546.49000000€","10.66%"
"654",2017-10-15,"1 BTC = 4746.28000000€","4.21%"
"655",2017-10-16,"1 BTC = 4884.29000000€","2.83%"
"656",2017-10-17,"1 BTC = 4780.31000000€","-2.18%"
"657",2017-10-18,"1 BTC = 4858.88000000€","1.62%"
"658",2017-10-19,"1 BTC = 4758.56000000€","-2.11%"
"659",2017-10-20,"1 BTC = 4754.53000000€","-0.08%"
"660",2017-10-21,"1 BTC = 4808.71000000€","1.13%"
"661",2017-10-22,"1 BTC = 5065.72000000€","5.07%"
"662",2017-10-23,"1 BTC = 5127.37000000€","1.2%"
"663",2017-10-24,"1 BTC = 5100.86000000€","-0.52%"
"664",2017-10-25,"1 BTC = 5006.49000000€","-1.88%"
"665",2017-10-26,"1 BTC = 4754.15000000€","-5.31%"
"666",2017-10-27,"1 BTC = 4895.13000000€","2.88%"
"667",2017-10-28,"1 BTC = 5071.09000000€","3.47%"
"668",2017-10-29,"1 BTC = 5004.47000000€","-1.33%"
"669",2017-10-30,"1 BTC = 4975.19000000€","-0.59%"
"670",2017-10-31,"1 BTC = 5275.75000000€","5.7%"
"671",2017-11-01,"1 BTC = 5288.64000000€","0.24%"
"672",2017-11-02,"1 BTC = 5540.38000000€","4.54%"
"673",2017-11-03,"1 BTC = 5870.89000000€","5.63%"
"674",2017-11-04,"1 BTC = 6077.35000000€","3.4%"
"675",2017-11-05,"1 BTC = 6248.98000000€","2.75%"
"676",2017-11-06,"1 BTC = 6384.05000000€","2.12%"
"677",2017-11-07,"1 BTC = 6415.64000000€","0.49%"
"678",2017-11-08,"1 BTC = 6048.21000000€","-6.08%"
"679",2017-11-09,"1 BTC = 6178.49000000€","2.11%"
"680",2017-11-10,"1 BTC = 6479.81000000€","4.65%"
"681",2017-11-11,"1 BTC = 6191.79000000€","-4.65%"
"682",2017-11-12,"1 BTC = 5710.94000000€","-8.42%"
"683",2017-11-13,"1 BTC = 5487.15000000€","-4.08%"
"684",2017-11-14,"1 BTC = 5079.19000000€","-8.03%"
"685",2017-11-15,"1 BTC = 5662.26000000€","10.3%"
"686",2017-11-16,"1 BTC = 5680.15000000€","0.31%"
"687",2017-11-17,"1 BTC = 6253.78000000€","9.17%"
"688",2017-11-18,"1 BTC = 6645.07000000€","5.89%"
"689",2017-11-19,"1 BTC = 6560.64000000€","-1.29%"
"690",2017-11-20,"1 BTC = 6602.55000000€","0.63%"
"691",2017-11-21,"1 BTC = 6793.29000000€","2.81%"
"692",2017-11-22,"1 BTC = 7001.29000000€","2.97%"
"693",2017-11-23,"1 BTC = 6930.79000000€","-1.02%"
"694",2017-11-24,"1 BTC = 7010.18000000€","1.13%"
"695",2017-11-25,"1 BTC = 6811.82000000€","-2.91%"
"696",2017-11-26,"1 BTC = 6909.83000000€","1.42%"
"697",2017-11-27,"1 BTC = 7273.52000000€","5%"
"698",2017-11-28,"1 BTC = 7699.62000000€","5.53%"
"699",2017-11-29,"1 BTC = 8107.03000000€","5.03%"
"700",2017-11-30,"1 BTC = 8311.49000000€","2.46%"
"701",2017-12-01,"1 BTC = 8438.79000000€","1.51%"
"702",2017-12-02,"1 BTC = 8564.24000000€","1.46%"
"703",2017-12-03,"1 BTC = 9176.17000000€","6.67%"
"704",2017-12-04,"1 BTC = 9250.96000000€","0.81%"
"705",2017-12-05,"1 BTC = 9513.85000000€","2.76%"
"706",2017-12-06,"1 BTC = 9755.30000000€","2.48%"
"707",2017-12-07,"1 BTC = 9942.29000000€","1.88%"
"708",2017-12-08,"1 BTC = 11795.53000000€","15.71%"
"709",2017-12-09,"1 BTC = 15046.27000000€","21.6%"
"710",2017-12-10,"1 BTC = 13503.35000000€","-11.43%"
"711",2017-12-11,"1 BTC = 12697.71000000€","-6.34%"
"712",2017-12-12,"1 BTC = 12669.29000000€","-0.22%"
"713",2017-12-13,"1 BTC = 13863.96000000€","8.62%"
"714",2017-12-14,"1 BTC = 14196.48000000€","2.34%"
"715",2017-12-15,"1 BTC = 13651.18000000€","-3.99%"
"716",2017-12-16,"1 BTC = 13832.48000000€","1.31%"
"717",2017-12-17,"1 BTC = 14879.76000000€","7.04%"
"718",2017-12-18,"1 BTC = 16376.30000000€","9.14%"
"719",2017-12-19,"1 BTC = 15992.81000000€","-2.4%"
"720",2017-12-20,"1 BTC = 15992.44000000€","0%"
"721",2017-12-21,"1 BTC = 14992.29000000€","-6.67%"
"722",2017-12-22,"1 BTC = 13961.36000000€","-7.38%"
"723",2017-12-23,"1 BTC = 13009.24000000€","-7.32%"
"724",2017-12-24,"1 BTC = 11867.06000000€","-9.62%"
"725",2017-12-25,"1 BTC = 12503.76000000€","5.09%"
"726",2017-12-26,"1 BTC = 11887.31000000€","-5.19%"
"727",2017-12-27,"1 BTC = 11733.82000000€","-1.31%"
"728",2017-12-28,"1 BTC = 13259.28000000€","11.5%"
"729",2017-12-29,"1 BTC = 13087.45000000€","-1.31%"
"730",2017-12-30,"1 BTC = 12264.02000000€","-6.71%"
"731",2017-12-31,"1 BTC = 12247.68000000€","-0.13%"
"732",2018-01-01,"1 BTC = 10654.40000000€","-14.95%"
"733",2018-01-02,"1 BTC = 11850.31000000€","10.09%"
"734",2018-01-03,"1 BTC = 11391.39000000€","-4.03%"
"735",2018-01-04,"1 BTC = 12319.79000000€","7.54%"
"736",2018-01-05,"1 BTC = 12786.04000000€","3.65%"
"737",2018-01-06,"1 BTC = 12725.41000000€","-0.48%"
"738",2018-01-07,"1 BTC = 14183.30000000€","10.28%"
"739",2018-01-08,"1 BTC = 14338.58000000€","1.08%"
"740",2018-01-09,"1 BTC = 13490.26000000€","-6.29%"
"741",2018-01-10,"1 BTC = 12618.13000000€","-6.91%"
"742",2018-01-11,"1 BTC = 12125.31000000€","-4.06%"
"743",2018-01-12,"1 BTC = 12427.96000000€","2.44%"
"744",2018-01-13,"1 BTC = 11144.19000000€","-11.52%"
"745",2018-01-14,"1 BTC = 11497.98000000€","3.08%"
"746",2018-01-15,"1 BTC = 11797.41000000€","2.54%"
"747",2018-01-16,"1 BTC = 11300.22000000€","-4.4%"
"748",2018-01-17,"1 BTC = 11192.51000000€","-0.96%"
"749",2018-01-18,"1 BTC = 9306.21000000€","-20.27%"
"750",2018-01-19,"1 BTC = 9206.16000000€","-1.09%"
"751",2018-01-20,"1 BTC = 9325.40000000€","1.28%"
"752",2018-01-21,"1 BTC = 9555.89000000€","2.41%"
"753",2018-01-22,"1 BTC = 10538.09000000€","9.32%"
"754",2018-01-23,"1 BTC = 9522.45000000€","-10.67%"
"755",2018-01-24,"1 BTC = 8869.76000000€","-7.36%"
"756",2018-01-25,"1 BTC = 8838.04000000€","-0.36%"
"757",2018-01-26,"1 BTC = 9231.54000000€","4.26%"
"758",2018-01-27,"1 BTC = 8976.46000000€","-2.84%"
"759",2018-01-28,"1 BTC = 9190.63000000€","2.33%"
"760",2018-01-29,"1 BTC = 9401.97000000€","2.25%"
"761",2018-01-30,"1 BTC = 9030.15000000€","-4.12%"
"762",2018-01-31,"1 BTC = 8097.68000000€","-11.52%"
"763",2018-02-01,"1 BTC = 8153.29000000€","0.68%"
"764",2018-02-02,"1 BTC = 7179.62000000€","-13.56%"
"765",2018-02-03,"1 BTC = 7097.12000000€","-1.16%"
"766",2018-02-04,"1 BTC = 7424.29000000€","4.41%"
"767",2018-02-05,"1 BTC = 6544.21000000€","-13.45%"
"768",2018-02-06,"1 BTC = 5824.67000000€","-12.35%"
"769",2018-02-07,"1 BTC = 5759.53000000€","-1.13%"
"770",2018-02-08,"1 BTC = 6722.05000000€","14.32%"
"771",2018-02-09,"1 BTC = 6755.16000000€","0.49%"
"772",2018-02-10,"1 BTC = 7072.46000000€","4.49%"
"773",2018-02-11,"1 BTC = 6850.15000000€","-3.25%"
"774",2018-02-12,"1 BTC = 6603.70000000€","-3.73%"
"775",2018-02-13,"1 BTC = 7108.61000000€","7.1%"
"776",2018-02-14,"1 BTC = 7286.13000000€","2.44%"
"777",2018-02-15,"1 BTC = 7570.40000000€","3.76%"
"778",2018-02-16,"1 BTC = 8139.95000000€","7%"
"779",2018-02-17,"1 BTC = 8246.05000000€","1.29%"
"780",2018-02-18,"1 BTC = 8680.27000000€","5%"
"781",2018-02-19,"1 BTC = 8628.54000000€","-0.6%"
"782",2018-02-20,"1 BTC = 9010.46000000€","4.24%"
"783",2018-02-21,"1 BTC = 9380.20000000€","3.94%"
"784",2018-02-22,"1 BTC = 9208.32000000€","-1.87%"
"785",2018-02-23,"1 BTC = 8499.69000000€","-8.34%"
"786",2018-02-24,"1 BTC = 8267.72000000€","-2.81%"
"787",2018-02-25,"1 BTC = 7870.50000000€","-5.05%"
"788",2018-02-26,"1 BTC = 7926.90000000€","0.71%"
"789",2018-02-27,"1 BTC = 8414.86000000€","5.8%"
"790",2018-02-28,"1 BTC = 8680.73000000€","3.06%"
"791",2018-03-01,"1 BTC = 8590.41000000€","-1.05%"
"792",2018-03-02,"1 BTC = 8828.13000000€","2.69%"
"793",2018-03-03,"1 BTC = 8785.39000000€","-0.49%"
"794",2018-03-04,"1 BTC = 9233.41000000€","4.85%"
"795",2018-03-05,"1 BTC = 9271.28000000€","0.41%"
"796",2018-03-06,"1 BTC = 9348.23000000€","0.82%"
"797",2018-03-07,"1 BTC = 9367.16000000€","0.2%"
"798",2018-03-08,"1 BTC = 7876.00000000€","-18.93%"
"799",2018-03-09,"1 BTC = 8048.12000000€","2.14%"
"800",2018-03-10,"1 BTC = 7407.65000000€","-8.65%"
"801",2018-03-11,"1 BTC = 7143.93000000€","-3.69%"
"802",2018-03-12,"1 BTC = 7746.76000000€","7.78%"
"803",2018-03-13,"1 BTC = 7503.78000000€","-3.24%"
"804",2018-03-14,"1 BTC = 7428.85000000€","-1.01%"
"805",2018-03-15,"1 BTC = 6748.12000000€","-10.09%"
"806",2018-03-16,"1 BTC = 6703.71000000€","-0.66%"
"807",2018-03-17,"1 BTC = 6632.60000000€","-1.07%"
"808",2018-03-18,"1 BTC = 6405.55000000€","-3.54%"
"809",2018-03-19,"1 BTC = 6274.17000000€","-2.09%"
"810",2018-03-20,"1 BTC = 6956.04000000€","9.8%"
"811",2018-03-21,"1 BTC = 7284.42000000€","4.51%"
"812",2018-03-22,"1 BTC = 7212.82000000€","-0.99%"
"813",2018-03-23,"1 BTC = 7123.52000000€","-1.25%"
"814",2018-03-24,"1 BTC = 7066.70000000€","-0.8%"
"815",2018-03-25,"1 BTC = 6991.23000000€","-1.08%"
"816",2018-03-26,"1 BTC = 6866.70000000€","-1.81%"
"817",2018-03-27,"1 BTC = 6824.98000000€","-0.61%"
"818",2018-03-28,"1 BTC = 6525.49000000€","-4.59%"
"819",2018-03-29,"1 BTC = 6482.10000000€","-0.67%"
"820",2018-03-30,"1 BTC = 5746.79000000€","-12.8%"
"821",2018-03-31,"1 BTC = 5540.98000000€","-3.71%"
"822",2018-04-01,"1 BTC = 5611.24000000€","1.25%"
