"","Date","Prix","Variation 24h"
"101",2016-04-10,"1 BTC = 369.12000000€","-0.49%"
"102",2016-04-11,"1 BTC = 368.39000000€","-0.2%"
"103",2016-04-12,"1 BTC = 369.67000000€","0.35%"
"104",2016-04-13,"1 BTC = 370.90000000€","0.33%"
"105",2016-04-14,"1 BTC = 374.28000000€","0.9%"
"106",2016-04-15,"1 BTC = 375.47000000€","0.32%"
"107",2016-04-16,"1 BTC = 377.09000000€","0.43%"
"108",2016-04-17,"1 BTC = 380.94000000€","1.01%"
"109",2016-04-18,"1 BTC = 382.21000000€","0.33%"
"110",2016-04-19,"1 BTC = 378.39000000€","-1.01%"
"111",2016-04-20,"1 BTC = 379.01000000€","0.16%"
"112",2016-04-21,"1 BTC = 383.98000000€","1.29%"
"113",2016-04-22,"1 BTC = 390.89000000€","1.77%"
"114",2016-04-23,"1 BTC = 398.36000000€","1.88%"
"115",2016-04-24,"1 BTC = 397.70000000€","-0.17%"
"116",2016-04-25,"1 BTC = 400.93000000€","0.81%"
"117",2016-04-26,"1 BTC = 408.15000000€","1.77%"
"118",2016-04-27,"1 BTC = 412.29000000€","1%"
"119",2016-04-28,"1 BTC = 414.23000000€","0.47%"
"120",2016-04-29,"1 BTC = 396.50000000€","-4.47%"
"121",2016-04-30,"1 BTC = 397.71000000€","0.3%"
"122",2016-05-01,"1 BTC = 399.16000000€","0.36%"
"123",2016-05-02,"1 BTC = 391.17000000€","-2.04%"
"124",2016-05-03,"1 BTC = 395.39000000€","1.07%"
"125",2016-05-04,"1 BTC = 387.01000000€","-2.17%"
"126",2016-05-05,"1 BTC = 393.34000000€","1.61%"
"127",2016-05-06,"1 BTC = 389.94000000€","-0.87%"
"128",2016-05-07,"1 BTC = 394.08000000€","1.05%"
"129",2016-05-08,"1 BTC = 404.14000000€","2.49%"
"130",2016-05-09,"1 BTC = 403.05000000€","-0.27%"
"131",2016-05-10,"1 BTC = 402.66000000€","-0.1%"
"132",2016-05-11,"1 BTC = 406.71000000€","1%"
"133",2016-05-12,"1 BTC = 397.21000000€","-2.39%"
"134",2016-05-13,"1 BTC = 397.24000000€","0.01%"
"135",2016-05-14,"1 BTC = 400.65000000€","0.85%"
"136",2016-05-15,"1 BTC = 403.42000000€","0.69%"
"137",2016-05-16,"1 BTC = 403.34000000€","-0.02%"
"138",2016-05-17,"1 BTC = 404.94000000€","0.4%"
"139",2016-05-18,"1 BTC = 401.91000000€","-0.75%"
"140",2016-05-19,"1 BTC = 402.41000000€","0.12%"
"141",2016-05-20,"1 BTC = 403.60000000€","0.29%"
"142",2016-05-21,"1 BTC = 393.49000000€","-2.57%"
"143",2016-05-22,"1 BTC = 395.47000000€","0.5%"
"144",2016-05-23,"1 BTC = 395.61000000€","0.04%"
"145",2016-05-24,"1 BTC = 391.66000000€","-1.01%"
"146",2016-05-25,"1 BTC = 394.80000000€","0.8%"
"147",2016-05-26,"1 BTC = 399.38000000€","1.15%"
"148",2016-05-27,"1 BTC = 402.43000000€","0.76%"
"149",2016-05-28,"1 BTC = 404.15000000€","0.43%"
"150",2016-05-29,"1 BTC = 423.33000000€","4.53%"
"151",2016-05-30,"1 BTC = 471.08000000€","10.14%"
"152",2016-05-31,"1 BTC = 465.49000000€","-1.2%"
"153",2016-06-01,"1 BTC = 476.46000000€","2.3%"
"154",2016-06-02,"1 BTC = 477.49000000€","0.22%"
"155",2016-06-03,"1 BTC = 480.81000000€","0.69%"
"156",2016-06-04,"1 BTC = 482.39000000€","0.33%"
"157",2016-06-05,"1 BTC = 500.79000000€","3.67%"
"158",2016-06-06,"1 BTC = 504.86000000€","0.81%"
"159",2016-06-07,"1 BTC = 506.19000000€","0.26%"
"160",2016-06-08,"1 BTC = 514.35000000€","1.59%"
"161",2016-06-09,"1 BTC = 508.62000000€","-1.13%"
"162",2016-06-10,"1 BTC = 510.30000000€","0.33%"
"163",2016-06-11,"1 BTC = 509.93000000€","-0.07%"
"164",2016-06-12,"1 BTC = 515.56000000€","1.09%"
"165",2016-06-13,"1 BTC = 529.18000000€","2.57%"
"166",2016-06-14,"1 BTC = 592.24000000€","10.65%"
"167",2016-06-15,"1 BTC = 623.02000000€","4.94%"
"168",2016-06-16,"1 BTC = 613.28000000€","-1.59%"
"169",2016-06-17,"1 BTC = 617.05000000€","0.61%"
"170",2016-06-18,"1 BTC = 683.49000000€","9.72%"
"171",2016-06-19,"1 BTC = 664.31000000€","-2.89%"
"172",2016-06-20,"1 BTC = 672.90000000€","1.28%"
"173",2016-06-21,"1 BTC = 676.87000000€","0.59%"
"174",2016-06-22,"1 BTC = 648.84000000€","-4.32%"
"175",2016-06-23,"1 BTC = 597.47000000€","-8.6%"
"176",2016-06-24,"1 BTC = 527.59000000€","-13.25%"
"177",2016-06-25,"1 BTC = 550.64000000€","4.19%"
"178",2016-06-26,"1 BTC = 605.31000000€","9.03%"
"179",2016-06-27,"1 BTC = 608.11000000€","0.46%"
"180",2016-06-28,"1 BTC = 574.82000000€","-5.79%"
"181",2016-06-29,"1 BTC = 592.13000000€","2.92%"
"182",2016-06-30,"1 BTC = 587.50000000€","-0.79%"
"183",2016-07-01,"1 BTC = 575.33000000€","-2.12%"
"184",2016-07-02,"1 BTC = 607.76000000€","5.34%"
"185",2016-07-03,"1 BTC = 609.29000000€","0.25%"
"186",2016-07-04,"1 BTC = 630.64000000€","3.39%"
"187",2016-07-05,"1 BTC = 599.40000000€","-5.21%"
"188",2016-07-06,"1 BTC = 611.72000000€","2.01%"
"189",2016-07-07,"1 BTC = 608.31000000€","-0.56%"
"190",2016-07-08,"1 BTC = 613.05000000€","0.77%"
"191",2016-07-09,"1 BTC = 581.37000000€","-5.45%"
"192",2016-07-10,"1 BTC = 606.77000000€","4.19%"
"193",2016-07-11,"1 BTC = 595.04000000€","-1.97%"
"194",2016-07-12,"1 BTC = 589.18000000€","-0.99%"
"195",2016-07-13,"1 BTC = 589.05000000€","-0.02%"
"196",2016-07-14,"1 BTC = 610.55000000€","3.52%"
"197",2016-07-15,"1 BTC = 598.04000000€","-2.09%"
"198",2016-07-16,"1 BTC = 597.15000000€","-0.15%"
"199",2016-07-17,"1 BTC = 604.76000000€","1.26%"
"200",2016-07-18,"1 BTC = 603.56000000€","-0.2%"
"201",2016-07-19,"1 BTC = 614.50000000€","1.78%"
"202",2016-07-20,"1 BTC = 610.71000000€","-0.62%"
"203",2016-07-21,"1 BTC = 611.56000000€","0.14%"
"204",2016-07-22,"1 BTC = 606.22000000€","-0.88%"
"205",2016-07-23,"1 BTC = 604.08000000€","-0.35%"
"206",2016-07-24,"1 BTC = 594.42000000€","-1.63%"
"207",2016-07-25,"1 BTC = 600.93000000€","1.08%"
"208",2016-07-26,"1 BTC = 603.10000000€","0.36%"
"209",2016-07-27,"1 BTC = 594.34000000€","-1.47%"
"210",2016-07-28,"1 BTC = 594.11000000€","-0.04%"
"211",2016-07-29,"1 BTC = 593.15000000€","-0.16%"
"212",2016-07-30,"1 BTC = 591.92000000€","-0.21%"
